model,removed_rank,script_auc,text_regime_auc,cross_pooled_auc_change,mean_cross_reliance,random_reliance_mean,random_reliance_std,random_auc_change_mean,random_auc_change_std,reliance_ratio,targeted_abs_auc_effect,random_abs_auc_effect_approx
dinov2_b,32,0.5300542091836735,0.9732940051020408,-0.035761392625231925,0.034617133630459006,0.02121899574795589,0.0007409417617717353,-0.009074620970547292,0.005324434318492416,1.6314218656551553,0.035761392625231925,0.009074620970547292
dinov2_b,56,0.5230389030612246,0.949936224489796,-0.059678658395176165,0.0442553922310297,0.03016688397230897,0.0007563997873050532,-0.016884602562615918,0.008690994251275959,1.467019009044917,0.059678658395176165,0.016884602562615918
dinov2_l,1,0.771125637755102,0.9983258928571429,-0.0001237462314471749,0.0026591580490044654,0.0027243657234852325,0.0003523884984789854,-9.261943413733099e-05,0.0010172315446877475,0.9760650070147895,0.0001237462314471749,9.261943413733099e-05
dinov2_l,2,0.6993781887755103,0.9981664540816326,-6.939210343237523e-05,0.0030102222090726163,0.00440058809694076,0.00039844923798168405,-0.0007813949443413737,0.001352933104862472,0.6840499821297271,6.939210343237523e-05,0.0007813949443413737
dinov2_l,4,0.49736926020408156,0.9976881377551021,0.00022883087894254306,0.004251026517398574,0.006727585052363189,0.00039691437109096704,-0.00112438761015774,0.0013761394412753485,0.6318800110754932,0.00022883087894254306,0.00112438761015774
dinov2_l,8,0.584343112244898,0.9989636479591837,-0.002601207386363602,0.009285569188768944,0.009927540516515999,0.00041169355353548067,-0.0014358005275974307,0.0019282254269582845,0.9353343029243713,0.002601207386363602,0.0014358005275974307
dinov2_l,16,0.5441645408163266,0.9971301020408163,-0.01739785047541753,0.021386130279885906,0.014502949561806469,0.0004860487477633395,-0.0033863165294526986,0.003535001917727075,1.4746055751449554,0.01739785047541753,0.0033863165294526986
dinov2_l,32,0.5747767857142857,0.9709024234693877,-0.03181691355519489,0.03165806571557674,0.021553719610180835,0.0006218523484004883,-0.007164653148191136,0.005949057548863309,1.468798253301168,0.03181691355519489,0.007164653148191136
dinov2_l,56,0.41039540816326525,0.9423628826530612,-0.04756729041048258,0.04268227257325765,0.03061390620020609,0.0005699575432887452,-0.014290280032467583,0.007987189258957285,1.3942119079521553,0.04756729041048258,0.014290280032467583
dinov2_g,1,0.7417091836734694,0.99609375,-0.00026089981447130484,0.002754302366003185,0.0026801851492845785,0.00026224191931543104,-0.00020913656655852653,0.0005498592549422081,1.0276537674042372,0.00026089981447130484,0.00020913656655852653
dinov2_g,2,0.7230548469387755,0.9942602040816327,-0.00029822298237480727,0.0032095403898156068,0.004346235468969043,0.0002891587223721139,-0.0007565369897960195,0.0008597120911833001,0.7384644510705565,0.00029822298237480727,0.0007565369897960195
dinov2_g,4,0.5612244897959184,0.9944196428571429,-0.000715300324675372,0.004329795456306159,0.006758326572483914,0.00045608199830208764,-0.0009540961270872895,0.0013866917722032727,0.6406608810433397,0.000715300324675372,0.0009540961270872895
dinov2_g,8,0.5180963010204082,0.9925860969387754,0.0016277249536177374,0.009291321772046335,0.009851822657493296,0.0004452559372737507,-0.002114067573052053,0.0020561649706402106,0.9431068843874647,0.0016277249536177374,0.002114067573052053
dinov2_g,16,0.5113998724489797,0.9874043367346939,-0.0033797396799629675,0.016872484004524374,0.01447238706997464,0.0005411819792163428,-0.0029818855809370217,0.0019806392382767063,1.1658397417748128,0.0033797396799629675,0.0029818855809370217
dinov2_g,32,0.4810267857142857,0.9606186224489797,-0.00547962082560316,0.024509926771022178,0.02146570898475765,0.0006310625372324492,-0.006462488404452793,0.003189709753749779,1.1418177144032915,0.00547962082560316,0.006462488404452793
