model,removed_rank,trial,random_cross_reliance,random_cross_auc_change
dinov2_b,4,11,0.00656627825523802,-0.00398053397495346
dinov2_b,8,11,0.010082876664064364,-0.005749579661410098
dinov2_b,16,11,0.014382253268716533,-0.013439601692949887
dinov2_b,32,11,0.02139571522185243,-0.01867970199443414
dinov2_b,56,11,0.031334227097998435,-0.03670244376159548
dinov2_b,1,12,0.0025752125515492853,0.0005609346011131722
dinov2_b,2,12,0.004134708312332602,0.0018969590677180292
dinov2_b,4,12,0.007072878758337563,0.0013693616651206941
dinov2_b,8,12,0.010839108326031988,0.0012414482838590812
dinov2_b,16,12,0.015248296831530254,-0.000515639494434339
dinov2_b,32,12,0.02171112926986299,-0.0061014320500927255
dinov2_b,56,12,0.0300489167862287,-0.007863955241187326
dinov2_b,1,13,0.003253440575925011,0.0002623492578849307
dinov2_b,2,13,0.005062408591512334,0.00033989448051963134
dinov2_b,4,13,0.0072773715150214234,-0.002686543367346861
dinov2_b,8,13,0.009906020027801624,-0.00425737766697587
dinov2_b,16,13,0.01447517567857332,-0.007531670338589924
dinov2_b,32,13,0.022357756294724303,-0.0196718460111317
dinov2_b,56,13,0.03133618888790855,-0.027572762059369094
dinov2_b,1,14,0.003040019247649253,0.00024785482374745094
dinov2_b,2,14,0.004266818518076689,-0.001246158974953504
dinov2_b,4,14,0.007100258560836237,-0.002605374536178262
dinov2_b,8,14,0.010299967396155938,-0.005557890769944174
dinov2_b,16,14,0.015196631377336171,-0.005701748028756781
dinov2_b,32,14,0.021956181471465747,-0.003766741071428603
dinov2_b,56,14,0.0298367891138597,-0.00902640885899808
dinov2_b,1,15,0.0026127683580348554,-0.0007783511131725929
dinov2_b,2,15,0.003904190801589738,-0.0005794150046382063
dinov2_b,4,15,0.0065106454134277675,-0.0012617404916510644
dinov2_b,8,15,0.009309861763433312,-0.0013661004174397862
dinov2_b,16,15,0.013812839117603492,-0.002647046034322753
dinov2_b,32,15,0.020627882322610386,-0.009844619666048215
dinov2_b,56,15,0.029990073717528536,-0.02386363636363642
dinov2_b,1,16,0.002084411733513095,-0.0003783047309833254
dinov2_b,2,16,0.0039274977085074075,3.768552875693665e-05
dinov2_b,4,16,0.0062349983927121105,0.0026296527133581327
dinov2_b,8,16,0.009128570490062401,0.0038739998840445766
dinov2_b,16,16,0.013726809763089553,0.00425556586270881
dinov2_b,32,16,0.02021559009526145,-0.009052498840445233
dinov2_b,56,16,0.028922362084126203,-0.013291758464749504
dinov2_b,1,17,0.0024219244262210357,3.587372448976556e-05
dinov2_b,2,17,0.003344133944189132,-0.00047795396567706927
dinov2_b,4,17,0.005851632703850492,-0.0007830618042670157
dinov2_b,8,17,0.00897002876893624,-0.002122709879406215
dinov2_b,16,17,0.014090386457764347,-0.00524263682745818
dinov2_b,32,17,0.021120014845443673,-0.00987179673005567
dinov2_b,56,17,0.03023012959521159,-0.016848692602040694
dinov2_b,1,18,0.003245028239758952,2.753942486088956e-05
dinov2_b,2,18,0.005042744006548532,-0.0008870593692020812
dinov2_b,4,18,0.0070794380194735655,-0.0020621956168830335
dinov2_b,8,18,0.010068196978010799,-0.004293613752319181
dinov2_b,16,18,0.014628056599474639,-0.006402191558441572
dinov2_b,32,18,0.02048190337415821,-0.003889581400742137
dinov2_b,56,18,0.029849614479678654,-0.006318486201298712
dinov2_b,1,19,0.0031825288498347716,0.0011320153061223914
dinov2_b,2,19,0.0049360467373834715,0.0014483563311687986
dinov2_b,4,19,0.0072325630295293295,0.001986462198515837
dinov2_b,8,19,0.010691098462901194,-0.0018563746521336189
dinov2_b,16,19,0.015188250274968328,-0.006656931238404384
dinov2_b,32,19,0.022032273953995672,-0.0145440775742115
dinov2_b,56,19,0.0314746867689841,-0.024331081864564008
dinov2_l,1,0,0.0025482505892285693,0.000637936282467555
dinov2_l,2,0,0.003901675490232897,0.0011793033974952793
dinov2_l,4,0,0.007187696670146977,-0.0018293787685529361
dinov2_l,8,0,0.009830545981928767,-0.002833843054267371
dinov2_l,16,0,0.01508990691472975,-0.005737440572820107
dinov2_l,32,0,0.02179240248542958,-0.012110643262987053
dinov2_l,56,0,0.030822496020395048,-0.020362324617346883
dinov2_l,1,1,0.0029058866521097363,-0.00039914048005584846
dinov2_l,2,1,0.0052631127052669,-0.0029947312731910536
dinov2_l,4,1,0.007500702130468373,-0.003224830415120672
dinov2_l,8,1,0.01067562984608374,-0.001581161583951718
dinov2_l,16,1,0.014976023693909858,-0.0008473808557514229
dinov2_l,32,1,0.022009151465102215,-0.0005205313659554234
dinov2_l,56,1,0.03168403293860567,-0.00606465242346943
dinov2_l,1,2,0.00258372664849924,-0.0003397133000927477
dinov2_l,2,2,0.004245461797383191,-3.714198747684083e-05
dinov2_l,4,2,0.006266312498864176,0.000964061050556686
dinov2_l,8,2,0.009628233117441156,0.0009749318761596015
dinov2_l,16,2,0.014129312857340905,-0.003998470837198398
dinov2_l,32,2,0.020730441080365748,-0.00983719126855298
dinov2_l,56,2,0.03020666224881317,-0.018847293889146632
dinov2_l,1,3,0.0031671384173225276,-0.0007980997796845912
dinov2_l,2,3,0.004527305061209779,-0.0024388697240260715
dinov2_l,4,3,0.006859687080741665,-0.002111657873376749
dinov2_l,8,3,0.009836363062604981,0.0006129333835805939
dinov2_l,16,3,0.014418931652980251,-0.000800998666512065
dinov2_l,32,3,0.02115237767000953,-0.005967902075603049
dinov2_l,56,3,0.0298588430642813,-0.007822464923469497
dinov2_l,1,4,0.002511378412740197,-0.0004306658743044034
dinov2_l,2,4,0.004419722446434486,-0.0022638494318181213
dinov2_l,4,4,0.006518663734881068,-0.0028693544179034802
dinov2_l,8,4,0.010057254446650708,-0.0012561238984230005
