model,removed_rank,monitor_script_auc,effective_monitor_auc
dinov2_l,9,0.4635802469135802,0.5364197530864199
dinov2_l,10,0.504320987654321,0.504320987654321
dinov2_l,11,0.46543209876543207,0.5345679012345679
dinov2_l,12,0.5334567901234568,0.5334567901234568
dinov2_l,13,0.5128395061728395,0.5128395061728395
dinov2_l,14,0.5254320987654321,0.5254320987654321
dinov2_l,15,0.5239506172839506,0.5239506172839506
dinov2_l,16,0.514567901234568,0.514567901234568
dinov2_l,17,0.4685185185185185,0.5314814814814814
dinov2_l,18,0.5377777777777777,0.5377777777777777
dinov2_l,19,0.45641975308641974,0.5435802469135802
dinov2_l,20,0.5272839506172838,0.5272839506172838
dinov2_l,21,0.46740740740740744,0.5325925925925925
dinov2_l,22,0.5193827160493828,0.5193827160493828
dinov2_l,23,0.5267901234567902,0.5267901234567902
dinov2_l,24,0.5037037037037037,0.5037037037037037
dinov2_l,25,0.4602469135802469,0.5397530864197531
dinov2_l,26,0.5064197530864197,0.5064197530864197
dinov2_l,27,0.5780246913580246,0.5780246913580246
dinov2_l,28,0.5148148148148148,0.5148148148148148
dinov2_l,29,0.4438271604938272,0.5561728395061728
dinov2_l,30,0.635432098765432,0.635432098765432
dinov2_l,31,0.4758024691358025,0.5241975308641975
dinov2_l,32,0.4541975308641975,0.5458024691358025
dinov2_l,33,0.498641975308642,0.501358024691358
dinov2_l,34,0.471604938271605,0.528395061728395
dinov2_l,35,0.45679012345679015,0.5432098765432098
dinov2_l,36,0.5350617283950617,0.5350617283950617
dinov2_l,37,0.5123456790123457,0.5123456790123457
dinov2_l,38,0.5491358024691357,0.5491358024691357
dinov2_l,39,0.5137037037037038,0.5137037037037038
dinov2_l,40,0.47814814814814816,0.5218518518518518
dinov2_l,41,0.5839506172839506,0.5839506172839506
dinov2_l,42,0.4382716049382716,0.5617283950617284
dinov2_l,43,0.501358024691358,0.501358024691358
dinov2_l,44,0.48358024691358026,0.5164197530864197
dinov2_l,45,0.5053086419753087,0.5053086419753087
dinov2_l,46,0.4711111111111111,0.528888888888889
dinov2_l,47,0.5249382716049382,0.5249382716049382
dinov2_l,48,0.4811111111111111,0.518888888888889
dinov2_l,49,0.4637037037037037,0.5362962962962963
dinov2_l,50,0.5193827160493827,0.5193827160493827
dinov2_l,51,0.48061728395061726,0.5193827160493827
dinov2_l,52,0.5051851851851852,0.5051851851851852
dinov2_l,53,0.4337037037037037,0.5662962962962963
dinov2_l,54,0.4867901234567902,0.5132098765432098
dinov2_l,55,0.5198765432098765,0.5198765432098765
dinov2_l,56,0.44098765432098763,0.5590123456790124
dinov2_g,0,0.9864197530864198,0.9864197530864198
dinov2_g,1,0.46555555555555556,0.5344444444444445
dinov2_g,2,0.4381481481481481,0.5618518518518518
dinov2_g,3,0.36283950617283955,0.6371604938271604
dinov2_g,4,0.4433333333333333,0.5566666666666666
dinov2_g,5,0.5085185185185185,0.5085185185185185
dinov2_g,6,0.39617283950617277,0.6038271604938272
dinov2_g,7,0.4579012345679013,0.5420987654320987
dinov2_g,8,0.5016049382716049,0.5016049382716049
dinov2_g,9,0.49876543209876545,0.5012345679012346
dinov2_g,10,0.47197530864197534,0.5280246913580247
dinov2_g,11,0.5370370370370371,0.5370370370370371
dinov2_g,12,0.5038271604938271,0.5038271604938271
dinov2_g,13,0.4955555555555555,0.5044444444444445
dinov2_g,14,0.45839506172839506,0.5416049382716049
dinov2_g,15,0.4812345679012346,0.5187654320987654
dinov2_g,16,0.4603703703703703,0.5396296296296297
dinov2_g,17,0.4766666666666667,0.5233333333333333
dinov2_g,18,0.41987654320987655,0.5801234567901234
dinov2_g,19,0.44123456790123455,0.5587654320987654
dinov2_g,20,0.4951851851851852,0.5048148148148148
dinov2_g,21,0.5209876543209877,0.5209876543209877
dinov2_g,22,0.4695061728395062,0.5304938271604938
dinov2_g,23,0.49148148148148146,0.5085185185185186
dinov2_g,24,0.47555555555555556,0.5244444444444445
dinov2_g,25,0.5048148148148148,0.5048148148148148
dinov2_g,26,0.521604938271605,0.521604938271605
dinov2_g,27,0.4645679012345679,0.5354320987654321
dinov2_g,28,0.5795061728395061,0.5795061728395061
dinov2_g,29,0.48395061728395067,0.5160493827160493
dinov2_g,30,0.46654320987654324,0.5334567901234568
dinov2_g,31,0.5211111111111111,0.5211111111111111
dinov2_g,32,0.468641975308642,0.5313580246913581
dinov2_g,33,0.4876543209876543,0.5123456790123457
dinov2_g,34,0.598641975308642,0.598641975308642
dinov2_g,35,0.4941975308641975,0.5058024691358025
dinov2_g,36,0.48148148148148145,0.5185185185185186
dinov2_g,37,0.5112345679012346,0.5112345679012346
dinov2_g,38,0.43135802469135803,0.568641975308642
dinov2_g,39,0.47283950617283954,0.5271604938271605
dinov2_g,40,0.5345679012345679,0.5345679012345679
dinov2_g,41,0.5109876543209877,0.5109876543209877
dinov2_g,42,0.45197530864197527,0.5480246913580247
dinov2_g,43,0.49580246913580245,0.5041975308641975
dinov2_g,44,0.5262962962962963,0.5262962962962963
dinov2_g,45,0.4866666666666667,0.5133333333333333
dinov2_g,46,0.5409876543209877,0.5409876543209877
dinov2_g,47,0.41111111111111115,0.5888888888888888
dinov2_g,48,0.5203703703703704,0.5203703703703704
dinov2_g,49,0.46925925925925926,0.5307407407407407
dinov2_g,50,0.44938271604938274,0.5506172839506173
dinov2_g,51,0.5393827160493828,0.5393827160493828
dinov2_g,52,0.48333333333333334,0.5166666666666666
dinov2_g,53,0.522962962962963,0.522962962962963
dinov2_g,54,0.49432098765432103,0.5056790123456789
dinov2_g,55,0.5177777777777778,0.5177777777777778
dinov2_g,56,0.4033333333333333,0.5966666666666667
