model,stage,trial,random_cross_reliance,random_cross_auc_change
dinov2_g,direct_lda,3,0.030618699031598133,-0.013774060760667672
dinov2_g,direct_lda,4,0.03096821995492362,-0.011041135204081676
dinov2_g,direct_lda,5,0.030607983029084112,-0.009710183789424787
dinov2_g,direct_lda,6,0.03095765946584909,-0.005947791048237505
dinov2_g,direct_lda,7,0.030177310639802554,-0.018216967184601085
dinov2_g,direct_lda,8,0.031002913265722888,-0.020205241187384093
dinov2_g,direct_lda,9,0.03084927157643043,-0.018457574791279963
dinov2_g,direct_lda,10,0.030755123008167434,-0.016994724025974017
dinov2_g,direct_lda,11,0.030729475316170547,-0.008623825950834885
dinov2_g,direct_lda,12,0.030967844518489798,-0.01112629000463805
dinov2_g,direct_lda,13,0.030337802332530233,-0.008099127435065134
dinov2_g,direct_lda,14,0.030403271945305416,-0.024944921150278132
dinov2_g,direct_lda,15,0.030617936344982298,-0.007213517509276346
dinov2_g,direct_lda,16,0.030364264924526728,-0.022294976229128016
dinov2_g,direct_lda,17,0.03079203519800521,-0.014748449095547178
dinov2_g,direct_lda,18,0.03042814851277043,-0.01312760899814469
dinov2_g,direct_lda,19,0.030149525348295618,-0.00799802875695721
dinov2_g,pca225_lda,0,0.03056235811805388,-0.010227635088126297
dinov2_g,pca225_lda,1,0.03198529076580118,-0.014042570153061318
dinov2_g,pca225_lda,2,0.031673431468358104,-0.022136986897031474
dinov2_g,pca225_lda,3,0.030689299870640594,-0.006730852852504632
dinov2_g,pca225_lda,4,0.030431592279644655,-0.017778510551948012
dinov2_g,pca225_lda,5,0.03157024934079947,-0.016240651089981628
dinov2_g,pca225_lda,6,0.030811269013737937,-0.018245231331168843
dinov2_g,pca225_lda,7,0.030236793662922635,-0.006733751739332106
dinov2_g,pca225_lda,8,0.029865206746451826,-0.006185499768089242
dinov2_g,pca225_lda,9,0.028959644616824605,-0.012995347286641978
dinov2_g,pca225_lda,10,0.031191044312840154,-0.009930861549165115
dinov2_g,pca225_lda,11,0.03004109958383053,-0.015584053223562155
dinov2_g,pca225_lda,12,0.03208879322220579,-0.01944826936456412
dinov2_g,pca225_lda,13,0.030159625153294463,-0.015822124304267327
dinov2_g,pca225_lda,14,0.03052163706627449,-0.004722649002782964
dinov2_g,pca225_lda,15,0.030870676739051403,-0.012847504058441594
dinov2_g,pca225_lda,16,0.030170241972957416,-0.025459111201298734
dinov2_g,pca225_lda,17,0.030962842531259888,-0.01983744492115047
dinov2_g,pca225_lda,18,0.03064762385440181,-0.010287062268089064
dinov2_g,pca225_lda,19,0.03213826433173876,-0.00962140538033407
