rank,linear_validation,finetuned_validation,linear_test,finetuned_test
62,60.17699115044248,64.60176991150442,51.76991150442478,60.17699115044248
63,60.61946902654868,64.60176991150442,52.654867256637175,61.94690265486725
64,60.61946902654868,65.04424778761062,52.654867256637175,61.94690265486725
65,61.06194690265486,65.929203539823,53.09734513274337,61.94690265486725
66,61.06194690265486,67.2566371681416,53.98230088495575,63.27433628318584
67,61.06194690265486,68.14159292035397,54.424778761061944,63.716814159292035
68,61.504424778761056,68.58407079646017,54.86725663716814,64.60176991150442
69,61.94690265486725,69.02654867256636,55.75221238938053,65.04424778761062
70,61.94690265486725,69.46902654867256,56.19469026548673,65.929203539823
71,62.38938053097345,69.46902654867256,57.07964601769911,66.3716814159292
72,63.27433628318584,69.46902654867256,58.4070796460177,66.8141592920354
73,63.27433628318584,69.46902654867256,58.4070796460177,66.8141592920354
74,63.27433628318584,69.91150442477876,58.849557522123895,66.8141592920354
75,63.716814159292035,70.35398230088495,58.849557522123895,67.2566371681416
76,64.60176991150442,70.35398230088495,59.73451327433629,67.69911504424779
77,64.60176991150442,70.35398230088495,60.17699115044248,68.58407079646017
78,65.48672566371681,70.35398230088495,60.61946902654868,69.46902654867256
79,65.929203539823,70.35398230088495,60.61946902654868,69.46902654867256
80,65.929203539823,70.35398230088495,60.61946902654868,70.35398230088495
81,66.3716814159292,71.23893805309734,61.504424778761056,70.35398230088495
82,67.2566371681416,72.12389380530973,63.27433628318584,70.35398230088495
83,67.2566371681416,73.45132743362832,64.15929203539822,70.79646017699115
84,68.14159292035397,73.45132743362832,64.60176991150442,71.68141592920354
85,68.14159292035397,73.45132743362832,65.48672566371681,71.68141592920354
86,69.02654867256636,73.45132743362832,65.929203539823,71.68141592920354
87,69.46902654867256,74.33628318584071,67.2566371681416,71.68141592920354
88,69.46902654867256,74.33628318584071,68.58407079646017,71.68141592920354
89,69.91150442477876,75.22123893805309,68.58407079646017,73.00884955752213
90,70.35398230088495,75.22123893805309,69.02654867256636,73.00884955752213
91,70.35398230088495,75.22123893805309,69.91150442477876,73.00884955752213
92,70.35398230088495,75.66371681415929,71.23893805309734,73.45132743362832
93,71.68141592920354,76.10619469026548,71.23893805309734,73.45132743362832
94,71.68141592920354,76.54867256637168,71.23893805309734,73.89380530973452
95,71.68141592920354,76.54867256637168,72.12389380530973,73.89380530973452
96,72.12389380530973,76.99115044247787,72.56637168141593,73.89380530973452
97,73.00884955752213,76.99115044247787,72.56637168141593,73.89380530973452
98,73.00884955752213,76.99115044247787,72.56637168141593,74.77876106194691
99,73.45132743362832,76.99115044247787,73.45132743362832,75.66371681415929
100,73.89380530973452,76.99115044247787,73.89380530973452,75.66371681415929
101,74.33628318584071,76.99115044247787,74.33628318584071,76.10619469026548
102,74.33628318584071,76.99115044247787,74.77876106194691,76.10619469026548
103,74.33628318584071,77.43362831858407,75.22123893805309,76.10619469026548
104,74.77876106194691,77.87610619469027,75.66371681415929,76.10619469026548
