epoch,batch,condition,batch_size,confirmed_margins,possible_margins,confirmation_rate,zero_confirmed
4,15,cross_same_same,8,16,16,1.0,False
4,16,cross_variable_variable,8,16,16,1.0,False
4,16,cross_variable_same,8,16,16,1.0,False
4,16,cross_same_variable,8,16,16,1.0,False
4,16,cross_same_same,8,16,16,1.0,False
4,17,cross_variable_variable,8,16,16,1.0,False
4,17,cross_variable_same,8,16,16,1.0,False
4,17,cross_same_variable,8,16,16,1.0,False
4,17,cross_same_same,8,16,16,1.0,False
4,18,cross_variable_variable,9,18,18,1.0,False
4,18,cross_variable_same,9,18,18,1.0,False
4,18,cross_same_variable,9,16,18,0.8888888888888888,False
4,18,cross_same_same,9,18,18,1.0,False
5,1,cross_variable_variable,8,16,16,1.0,False
5,1,cross_variable_same,8,16,16,1.0,False
5,1,cross_same_variable,8,16,16,1.0,False
5,1,cross_same_same,8,16,16,1.0,False
5,2,cross_variable_variable,8,16,16,1.0,False
5,2,cross_variable_same,8,16,16,1.0,False
5,2,cross_same_variable,8,16,16,1.0,False
5,2,cross_same_same,8,16,16,1.0,False
5,3,cross_variable_variable,8,16,16,1.0,False
5,3,cross_variable_same,8,16,16,1.0,False
5,3,cross_same_variable,8,16,16,1.0,False
5,3,cross_same_same,8,16,16,1.0,False
5,4,cross_variable_variable,8,15,16,0.9375,False
5,4,cross_variable_same,8,16,16,1.0,False
5,4,cross_same_variable,8,16,16,1.0,False
5,4,cross_same_same,8,16,16,1.0,False
5,5,cross_variable_variable,8,16,16,1.0,False
5,5,cross_variable_same,8,16,16,1.0,False
5,5,cross_same_variable,8,16,16,1.0,False
5,5,cross_same_same,8,16,16,1.0,False
5,6,cross_variable_variable,8,16,16,1.0,False
5,6,cross_variable_same,8,16,16,1.0,False
5,6,cross_same_variable,8,16,16,1.0,False
5,6,cross_same_same,8,16,16,1.0,False
5,7,cross_variable_variable,8,16,16,1.0,False
5,7,cross_variable_same,8,16,16,1.0,False
5,7,cross_same_variable,8,16,16,1.0,False
5,7,cross_same_same,8,16,16,1.0,False
5,8,cross_variable_variable,8,16,16,1.0,False
5,8,cross_variable_same,8,16,16,1.0,False
5,8,cross_same_variable,8,16,16,1.0,False
5,8,cross_same_same,8,16,16,1.0,False
5,9,cross_variable_variable,8,16,16,1.0,False
5,9,cross_variable_same,8,16,16,1.0,False
5,9,cross_same_variable,8,16,16,1.0,False
5,9,cross_same_same,8,16,16,1.0,False
5,10,cross_variable_variable,8,16,16,1.0,False
5,10,cross_variable_same,8,16,16,1.0,False
5,10,cross_same_variable,8,16,16,1.0,False
5,10,cross_same_same,8,16,16,1.0,False
5,11,cross_variable_variable,8,16,16,1.0,False
5,11,cross_variable_same,8,16,16,1.0,False
5,11,cross_same_variable,8,16,16,1.0,False
5,11,cross_same_same,8,16,16,1.0,False
5,12,cross_variable_variable,8,16,16,1.0,False
5,12,cross_variable_same,8,16,16,1.0,False
5,12,cross_same_variable,8,16,16,1.0,False
5,12,cross_same_same,8,16,16,1.0,False
5,13,cross_variable_variable,8,16,16,1.0,False
5,13,cross_variable_same,8,16,16,1.0,False
5,13,cross_same_variable,8,16,16,1.0,False
5,13,cross_same_same,8,16,16,1.0,False
5,14,cross_variable_variable,8,16,16,1.0,False
5,14,cross_variable_same,8,16,16,1.0,False
5,14,cross_same_variable,8,16,16,1.0,False
5,14,cross_same_same,8,16,16,1.0,False
5,15,cross_variable_variable,8,16,16,1.0,False
5,15,cross_variable_same,8,16,16,1.0,False
5,15,cross_same_variable,8,16,16,1.0,False
5,15,cross_same_same,8,16,16,1.0,False
5,16,cross_variable_variable,8,16,16,1.0,False
5,16,cross_variable_same,8,16,16,1.0,False
5,16,cross_same_variable,8,16,16,1.0,False
5,16,cross_same_same,8,16,16,1.0,False
5,17,cross_variable_variable,8,16,16,1.0,False
5,17,cross_variable_same,8,16,16,1.0,False
5,17,cross_same_variable,8,16,16,1.0,False
5,17,cross_same_same,8,16,16,1.0,False
5,18,cross_variable_variable,9,18,18,1.0,False
5,18,cross_variable_same,9,18,18,1.0,False
5,18,cross_same_variable,9,18,18,1.0,False
5,18,cross_same_same,9,18,18,1.0,False
6,1,cross_variable_variable,8,16,16,1.0,False
6,1,cross_variable_same,8,16,16,1.0,False
6,1,cross_same_variable,8,16,16,1.0,False
6,1,cross_same_same,8,16,16,1.0,False
6,2,cross_variable_variable,8,16,16,1.0,False
6,2,cross_variable_same,8,16,16,1.0,False
6,2,cross_same_variable,8,16,16,1.0,False
6,2,cross_same_same,8,16,16,1.0,False
6,3,cross_variable_variable,8,16,16,1.0,False
6,3,cross_variable_same,8,16,16,1.0,False
6,3,cross_same_variable,8,16,16,1.0,False
