trial,fixed_points,raw_direction_resultant_length,raw_uncentered_top1_energy_fraction,raw_uncentered_top5_cumulative_energy,raw_uncentered_rank_for_90_percent_energy,raw_uncentered_participation_ratio,raw_centered_top1_energy_fraction,raw_centered_top5_cumulative_energy,raw_centered_rank_for_90_percent_energy,raw_centered_participation_ratio,projected_direction_resultant_length,projected_uncentered_top1_energy_fraction,projected_uncentered_top5_cumulative_energy,projected_uncentered_rank_for_90_percent_energy,projected_uncentered_participation_ratio,projected_centered_top1_energy_fraction,projected_centered_top5_cumulative_energy,projected_centered_rank_for_90_percent_energy,projected_centered_participation_ratio
102,0,0.44808472080454625,0.27189572383954136,0.5837082120656674,26,9.092525967425704,0.22607893253341815,0.5202958550515586,31,12.205195850441921,0.08628424952237689,0.3301184237134994,0.7969061790808051,11,5.390641517656542,0.3316186092462021,0.8005201288417456,11,5.345208036316994
103,0,0.4552980728468025,0.26334638490051754,0.5878678845685128,27,9.328919868704782,0.21367859827437446,0.51793576826233,32,12.811159161691812,0.09122745663531726,0.34217921514425975,0.792789236153957,11,5.44019965827008,0.3437225373633841,0.7961335837045511,11,5.393285488089993
104,0,0.4551952669011393,0.27021520066257276,0.5802464379074372,27,9.194143801376411,0.22280341362736641,0.5108268555867791,31,12.462478163796591,0.09129285129201314,0.31009696689421545,0.7883923526700117,11,5.710466742580813,0.3116077761020519,0.7915798707681883,11,5.659770277273664
105,0,0.4518614772904095,0.2611099824491777,0.5784874375863195,27,9.655242359176787,0.18705692181877914,0.5134375533567662,32,14.049882725100744,0.08346929893797753,0.2958644209555602,0.789352256907155,11,5.863942241250548,0.29689110268552543,0.7927904633356478,11,5.814483961574438
106,0,0.45370859175218137,0.2695216904821073,0.5751641937680166,27,9.314004682290975,0.20624278036406452,0.5059754338031919,32,13.319335612880105,0.09240714157530008,0.3194654500984664,0.789153436846012,11,5.636643277108899,0.32086458472392515,0.7926364252924356,11,5.5897858232990405
107,0,0.4582791800905497,0.2626406625938516,0.5784381222546567,27,9.410900399646819,0.21151121014715238,0.5139836314906054,32,13.034412094048621,0.1010880322446614,0.31757715347825605,0.7911930223393435,11,5.658385190196643,0.3192842437255385,0.7945290059844102,11,5.606965792646984
108,0,0.4644042282002539,0.2675567752093483,0.5737040143343124,28,9.44780770052752,0.1931570986577994,0.5019060521711661,33,14.064361247270353,0.09063325692096746,0.3097818359590404,0.7939266762449162,11,5.705032766919413,0.31106273447786476,0.7974243208186178,11,5.65743219100162
109,0,0.45933943851375486,0.2605534509036489,0.5876564574655789,27,9.372017050542159,0.216957477891531,0.5204027180397961,32,12.539529553961977,0.09330097983771268,0.3338267507222585,0.7923592468534105,11,5.520372705922563,0.33542434803818566,0.796156950772851,11,5.472509512546861
110,0,0.4562799347814287,0.2684417425559859,0.5787428299568794,27,9.389483976555107,0.2025554131551023,0.50646836834915,32,13.530160663342379,0.08839921542480839,0.33387050710975086,0.7813962016819348,11,5.5380962483360205,0.33531504791676964,0.7843788964119325,11,5.4922675613604355
111,0,0.45630544845197935,0.26032674871566747,0.5909204858995345,26,9.258028316236945,0.23129024033350562,0.5227977085686946,31,11.933307159903727,0.08804942587910763,0.3418195545236371,0.8031707499470455,10,5.286890996148009,0.34345727436806095,0.8063815492788722,10,5.241207270268957
112,0,0.4553490302208343,0.26226014947541104,0.5905834748407888,27,9.208595131123653,0.22571552689775332,0.5201101457932544,31,12.260601029953518,0.08936220416737187,0.3666140826653618,0.800106476735795,11,5.086221937930106,0.36840632652765487,0.8036449931392178,10,5.041751221303795
113,0,0.45480263963068174,0.26570255373794743,0.5874869265518414,27,9.326025077097635,0.20932172078040198,0.5174776322584876,32,12.994076924516442,0.09131412966189209,0.2861216568602201,0.7748113976850406,12,6.1131670890972245,0.28751570863280546,0.7787487635463106,12,6.057457607686061
114,0,0.4593879633646406,0.26205069183163837,0.572167853012928,27,9.59565191638216,0.19975263520617204,0.5073130301344695,32,13.642531909998736,0.08467193597624044,0.2974045112333455,0.7817943029420626,11,5.941777433361832,0.29875033052782196,0.7856379369616637,11,5.890222002968545
115,0,0.4583471541445648,0.2704000663701312,0.5837057737614438,27,9.053218368567709,0.22264133557439675,0.5220728993884335,31,12.227363963877263,0.09471560967084562,0.307438731491772,0.7793387747212723,11,5.913274435490695,0.30892320898973974,0.7833256272024467,11,5.860927482188108
116,0,0.4490799602339393,0.27261744221428186,0.5775444511620411,27,9.370475843199703,0.19666724247005482,0.508326622200347,32,13.831121441892964,0.08986434959307198,0.3296922934945783,0.78471090437462,11,5.515077875523118,0.33116622591125394,0.7876735530166995,11,5.4678849162932455
117,0,0.4564471704095351,0.2641858471930938,0.5815982400943528,27,9.453386895753852,0.19694345018751372,0.5101398601567243,32,13.619500986138146,0.09370805797972208,0.32711774496447626,0.7944421950197419,11,5.465567428387433,0.3283900400528746,0.7979559651757163,11,5.422137295675146
118,0,0.4636493909330139,0.2518234378916334,0.5633842579377741,28,10.078526018800497,0.17848322664849625,0.4941783044487752,33,14.998319513448754,0.10241920705147073,0.3141690523871831,0.7809091205643178,11,5.843360616784949,0.3153164815952505,0.7845414219168244,11,5.7950688540405
119,0,0.45321123757050696,0.2617426670825331,0.5817061893295645,27,9.534386477254822,0.20869242190303475,0.5166840465449105,32,13.114632869949311,0.08686494552873848,0.3084015535919013,0.7823384362238681,11,5.9101442635781085,0.30981824150932646,0.7857934020499471,11,5.861129408129497
120,0,0.4553619813823426,0.27086246394528485,0.5809502772217205,27,9.138307650760781,0.2181716380997674,0.5076617861721556,32,12.68017886017338,0.09749038500851927,0.34596200780312997,0.7854778146164664,11,5.3805969427787375,0.3476255660296273,0.7884189547535095,11,5.33499237646235
121,0,0.45298334026216935,0.271582425784155,0.5814056834473574,27,9.197068764248517,0.21095455234859042,0.510135914912046,32,13.040171061445546,0.09685033701415742,0.3079039867881447,0.7811789845415672,11,5.528767678817232,0.3095310644262038,0.7846243310160496,11,5.479263075108351
122,0,0.45933945314670044,0.2734472627235675,0.5784392957180073,27,9.180990849742482,0.2068361932338111,0.5037621001932616,32,13.32686715194243,0.09637755712133865,0.3231822771777509,0.78175410488069,11,5.55469312528565,0.32471344251608303,0.7851875060466418,11,5.5068029924231885
123,0,0.4547800220308478,0.26419748227564255,0.5921906913524453,27,9.18213632863515,0.22460619197048443,0.5246264377412954,31,12.150917653214695,0.08652091565481868,0.3104721912362413,0.7939178316681782,11,5.470684161412182,0.31170081822069395,0.7975818997528683,11,5.4262166090287245
124,0,0.45909613591319226,0.25756553997094495,0.5763888570553639,27,9.799873125646927,0.19240385742667568,0.5070494446012568,31,14.023534981324726,0.08767746154612,0.3239307539907205,0.7929792846732137,11,5.517816331063176,0.3253025275275458,0.7964851656698121,11,5.470642308402026
125,0,0.4559127888070895,0.26691595751624647,0.5955106634125898,26,9.102786362266034,0.2218465309032915,0.5292654619906578,31,12.120538313881031,0.08920215141245771,0.30986747742115095,0.7998932193913026,11,5.643968426219982,0.3113351677264778,0.803062474494387,11,5.5952893183084385
126,0,0.4546676710227083,0.26542976287430275,0.5877124442946158,27,9.318989666104489,0.20655724876447773,0.5245812613357956,32,12.932668592240935,0.09557284375598782,0.3370875931949308,0.7883825250596996,11,5.447743978911951,0.33876270391113716,0.7917525126683213,11,5.400104208372571
127,0,0.4592557424036225,0.273815197155776,0.5880101846278333,27,8.944595667487063,0.2316825413202386,0.5197116651772302,32,11.947899892674748,0.08863920736917598,0.33166570478975926,0.784968114417284,11,5.518138678787215,0.3331677389867251,0.788357455494668,11,5.471860321122448
128,0,0.4531729602599265,0.2665594409653916,0.5782204447594028,27,9.394223753865713,0.20549003478851557,0.5152371244418776,32,13.206542971396635,0.08550125830332417,0.2832107138431835,0.7829811969830923,11,6.073042586984988,0.28417019104003627,0.7863306470151665,11,6.024429580390556
129,0,0.4577455379923587,0.2590158200276753,0.5804004213720599,27,9.548104503295715,0.20324284150902475,0.5101929193981958,32,13.40766020069059,0.09323825427661467,0.31771471635940823,0.779162172907052,11,5.9098961392382146,0.31908879176168947,0.782456447093762,11,5.862376161729481
130,0,0.4495837273331169,0.2623198818287613,0.5928524815190902,26,9.222311617914393,0.22070009263125814,0.5360435491999287,31,12.163203630438918,0.09091667645151619,0.32230720636531535,0.7982755309873757,11,5.553080297790813,0.32388044126893517,0.8014492992470831,11,5.506955568670767
131,0,0.4561230400430467,0.2683644528779104,0.580372860656054,27,9.26537521898239,0.2140606982212147,0.5075507584089142,32,12.961332656991718,0.08870440757364478,0.3180193542837212,0.7904063492026426,11,5.649286357468841,0.3191562760916839,0.7937472747666423,11,5.605045975713706
