trial,fixed_points,raw_mean_alignment_to_fit_direction,raw_median_alignment_to_fit_direction,raw_positive_fraction_to_fit_direction,raw_resultant_length,projected_mean_alignment_to_fit_direction,projected_median_alignment_to_fit_direction,projected_positive_fraction_to_fit_direction,projected_resultant_length
25,0,0.429134816325112,0.4316009532017687,1.0,0.4456702470779419,0.022038430368475248,0.061779852231975005,0.6111111111111112,0.09108707308769226
26,0,0.4402995172250168,0.4357369124599875,0.9722222222222222,0.45526322722435,0.023102306250439894,0.04035183191367098,0.5555555555555556,0.1089637279510498
27,0,0.42997297766178955,0.4585086562306599,1.0,0.4476216435432434,0.03331259708126856,0.053635066463474074,0.6111111111111112,0.11329390853643417
28,0,0.43994094490864954,0.44286836869006074,1.0,0.45781269669532776,0.012516053033611009,0.05471236497339866,0.5833333333333334,0.0813978984951973
29,0,0.43953432324603814,0.44422261401606444,1.0,0.4577260911464691,0.02998410825775986,0.008754494036406376,0.5277777777777778,0.09677141159772873
30,0,0.4170831849724802,0.4649352709992058,1.0,0.4316929578781128,0.021253422350289333,0.02066786469780929,0.5277777777777778,0.08563326299190521
31,0,0.4198893671167531,0.4225179339525958,1.0,0.4349673390388489,0.03367727565524849,0.03850637187895889,0.5833333333333334,0.09165690094232559
32,0,0.4356766759347203,0.49466069675459484,0.9722222222222222,0.45248526334762573,0.02409217178579541,-0.033624905777939376,0.4444444444444444,0.09534227102994919
33,0,0.4246510388710354,0.4538693530204697,0.9444444444444444,0.4430161118507385,0.01884847830626674,0.019213087813621115,0.5,0.09934645146131516
34,0,0.44357691943503536,0.41024459225976784,1.0,0.458490252494812,0.017726105207080328,0.05356031246410524,0.5555555555555556,0.08764083683490753
35,0,0.4167596530973556,0.44132661065009277,0.9722222222222222,0.4340319335460663,0.030542847691563027,0.0077801256195264915,0.5277777777777778,0.07624439895153046
36,0,0.43998363394023177,0.46283971014597963,1.0,0.45649203658103943,0.03285998184249495,0.033637866552733514,0.6666666666666666,0.09556663781404495
37,0,0.4458905044486587,0.4750116389330369,0.9166666666666666,0.46397966146469116,0.02808214631019877,0.05055337531343283,0.5555555555555556,0.08304738253355026
38,0,0.43572499380284313,0.43720640772097175,0.9722222222222222,0.45228472352027893,0.029241406380628037,-0.01685827244458466,0.4722222222222222,0.09634512662887573
39,0,0.44634639025799167,0.4982770255767246,0.9722222222222222,0.46260884404182434,0.01645526814056715,0.003741763125631379,0.5277777777777778,0.10680514574050903
40,0,0.42536167490137844,0.43602939779469785,0.9722222222222222,0.44370874762535095,0.029611991358784357,0.06123285173734519,0.6111111111111112,0.11311087012290955
41,0,0.44105567868191264,0.47011280256001275,1.0,0.45759317278862,0.04211487557652137,0.052419957700492695,0.5277777777777778,0.10654658824205399
42,0,0.4412828977902283,0.4436464390166459,0.9722222222222222,0.45630112290382385,0.02030108490929386,-0.0022423146759378123,0.5,0.08896568417549133
43,0,0.4216742462765495,0.45333758271783964,0.9722222222222222,0.43798917531967163,0.018350238316165415,0.02233429520243292,0.5833333333333334,0.07768262922763824
44,0,0.43963540644395815,0.47813242322869104,1.0,0.45624831318855286,0.03242488666715046,0.024598554938782064,0.5555555555555556,0.10135486721992493
45,0,0.44599642024663017,0.4614386921944063,0.9722222222222222,0.4636939465999603,0.012936202069552876,0.06926720566028761,0.5555555555555556,0.12261918187141418
46,0,0.43520077785768446,0.4473607957543654,0.9722222222222222,0.45208463072776794,0.01254318051293671,0.036146386646985634,0.5277777777777778,0.09513983875513077
47,0,0.43499205306421634,0.454140852225396,1.0,0.45043495297431946,0.021256435514142323,-0.0003913077028933809,0.5,0.09536390751600266
48,0,0.4450456947476778,0.49267599706330956,0.9444444444444444,0.46128225326538086,0.03107793556462664,0.038394491675170506,0.5277777777777778,0.0996752381324768
