split_index,fold,decision,pairs,error_rate,score_auc,script_auc,script_auc_gain,score_aurc,script_aurc,script_aurc_improvement
9,A_to_B,predicted_different,2257,0.01905183872396987,0.6988928804016722,0.6987983445725932,-9.453582907903435e-05,0.009993126582255218,0.00999747466858859,-4.3480863333722475e-06
9,B_to_A,predicted_same,1263,0.9350752177355502,0.6012473926602093,0.5965077135953409,-0.004739679064868385,0.9103883653641878,0.909953665497717,0.00043469986647082237
9,B_to_A,predicted_different,1873,0.01601708489054992,0.6307469705190812,0.6121360101284138,-0.018610960390667453,0.008708881553757594,0.009179727927058345,-0.0004708463733007519
10,A_to_B,predicted_same,927,0.9201725997842503,0.6182472038275086,0.5991096606571402,-0.01913754317036842,0.8777184601493125,0.8790286618844456,-0.0013102017351330764
10,A_to_B,predicted_different,2209,0.017202354006337708,0.6915197944192586,0.6909985696622949,-0.0005212247569637007,0.00815025900752639,0.008143834625356578,6.424382169811088e-06
10,B_to_A,predicted_same,1189,0.9343986543313709,0.5797272034895797,0.5691453760760692,-0.010581827413510547,0.9075150875642767,0.9097065822495201,-0.002191494685243378
10,B_to_A,predicted_different,1947,0.01746276322547509,0.646905076719658,0.6423849205128994,-0.004520156206758608,0.010865230518445498,0.011005845392346458,-0.00014061487390095925
11,A_to_B,predicted_same,993,0.9234642497482377,0.6179331917580211,0.6035843425357286,-0.014348849222292515,0.8816085939057111,0.8848134507105897,-0.0032048568048785864
11,A_to_B,predicted_different,2143,0.01679888007466169,0.6972920951326267,0.6915572430522596,-0.005734852080367059,0.009028175931494471,0.009036222411244218,-8.046479749746274e-06
11,B_to_A,predicted_same,1139,0.9350307287093942,0.6104174597132344,0.5956477604364928,-0.014769699276741544,0.9027783490009891,0.9029530529476553,-0.00017470394666618816
11,B_to_A,predicted_different,1997,0.01902854281422133,0.6581231025496359,0.6574245721501304,-0.0006985303995055148,0.009992197673302703,0.010024350704160079,-3.2153030857375725e-05
12,A_to_B,predicted_same,1117,0.9256938227394808,0.5809582624501876,0.5795250635035306,-0.001433198946656944,0.8961162991441012,0.8953711220633487,0.0007451770807525016
12,A_to_B,predicted_different,2019,0.014363546310054482,0.6005025125628141,0.6003465603881476,-0.00015595217466646272,0.010621982119617974,0.01046726765054035,0.0001547144690776242
