split_index,fold,score_auc,script_auc,random_auc,script_auc_gain,random_auc_gain,score_aurc,script_aurc,random_aurc,script_aurc_improvement,random_aurc_improvement
5,B_to_A,0.9657501422505741,0.9657483286974381,0.9655778547026567,-1.8135531359986246e-06,-0.00017228754791742684,0.07877777040394228,0.07877730703661497,0.07882567628280028,4.6336732731355745e-07,-4.790587885800113e-05
6,A_to_B,0.9643798505481534,0.9643973223493943,0.9643497602237945,1.7471801240898088e-05,-3.0090324358966747e-05,0.06454172575590304,0.06453860079828558,0.06454533514022964,3.1249576174646743e-06,-3.6093843265999626e-06
6,B_to_A,0.9657969103608575,0.9656631484683178,0.9657916988585507,-0.0001337618925396633,-5.211502306812221e-06,0.09259854799923703,0.09265015450888246,0.09260046625727542,-5.1606509645432674e-05,-1.918258038385856e-06
7,A_to_B,0.9689575068694797,0.9689736619660086,0.9689223457770341,1.615509652896918e-05,-3.5161092445612496e-05,0.06426620815113893,0.06426029081897709,0.06425330276708398,5.917332161833877e-06,1.2905384054948121e-05
7,B_to_A,0.9639861752387695,0.9639656186375085,0.9638293194334958,-2.0556601260990348e-05,-0.00015685580527369236,0.08499170302062484,0.08500087536010792,0.08506652026502931,-9.17233948308227e-06,-7.481724440447368e-05
8,A_to_B,0.9682203842899121,0.968206855106372,0.9676626327878454,-1.3529183540028633e-05,-0.0005577515020667168,0.08960607210736238,0.08961104182857785,0.08981400125253586,-4.969721215469791e-06,-0.00020792914517347993
8,B_to_A,0.9625802243974512,0.9625826292055283,0.96260763920953,2.404808077116627e-06,2.741481207879648e-05,0.06632316731184922,0.06632269100917339,0.06631138768117675,4.763026758280997e-07,1.1779630672462127e-05
9,A_to_B,0.966588254384438,0.9665815788135869,0.9666411454457973,-6.675570851100154e-06,5.289106135930588e-05,0.05247720662627438,0.05247944817522693,0.05247675217311975,-2.241548952550132e-06,4.5445315462883107e-07
9,B_to_A,0.9652098190826515,0.9651845099574249,0.9652003817817196,-2.5309125226580242e-05,-9.437300931836035e-06,0.10010388448909957,0.1001132344227041,0.10010346581695392,-9.349933604532734e-06,4.186721456467257e-07
10,A_to_B,0.9663619616106625,0.966351963085445,0.9664189532044023,-9.99852521743616e-06,5.6991593739841306e-05,0.055739505078101964,0.055743359863171554,0.05573117604538163,-3.85478506959025e-06,8.32903272033475e-06
10,B_to_A,0.9667253733503824,0.9665306104544688,0.9660059788699803,-0.00019476289591369156,-0.0007193944804021468,0.09049259989466489,0.09055990591905745,0.09075462063923981,-6.73060243925605e-05,-0.0002620207445749173
11,A_to_B,0.9669476864774498,0.9668741428927817,0.966733785201781,-7.354358466804545e-05,-0.00021390127566878192,0.06365346892348411,0.06367301580457468,0.0637282847243546,-1.954688109057079e-05,-7.481580087048689e-05
11,B_to_A,0.9659431706846107,0.9659547654097241,0.9659030350976788,1.1594725113472926e-05,-4.013558693183317e-05,0.0837762203269324,0.08377352423520815,0.08380871742648033,2.696091724249672e-06,-3.2497099547931785e-05
12,A_to_B,0.9658190986654104,0.9658163758469667,0.9655477244271758,-2.7228184437122493e-06,-0.0002713742382345341,0.07901918807525614,0.07901875963387986,0.07914119928449427,4.284413762795092e-07,-0.00012201120923813202
12,B_to_A,0.9662462935855572,0.9662702210712006,0.9663316818676575,2.392748564339353e-05,8.538828210025162e-05,0.06835881581735365,0.06835159960692992,0.06833105758501723,7.216210423724445e-06,2.775823233641672e-05
13,A_to_B,0.965555639295237,0.9655061387380212,0.9653968807513739,-4.950055721586466e-05,-0.0001587585438631578,0.08284185569149284,0.0828559115388244,0.0829130232965208,-1.4055847331564952e-05,-7.116760502795527e-05
13,B_to_A,0.9662654941476831,0.9662329333119549,0.9662082660121608,-3.256083572822366e-05,-5.7228135522335855e-05,0.05984797760365584,0.05985960013972866,0.05985386961882988,-1.1622536072820877e-05,-5.892015174042975e-06
14,A_to_B,0.9662696495792105,0.9662046559995223,0.9662876545573674,-6.499357968814401e-05,1.8004978156960227e-05,0.08968887639301068,0.08971237247607751,0.08967080794870994,-2.3496083066829043e-05,1.8068444300745057e-05
14,B_to_A,0.9632172528636077,0.963131608448006,0.9631198833196796,-8.564441560166003e-05,-9.736954392813857e-05,0.05428368673984454,0.05431096032369798,0.05430583147864156,-2.7273583853439087e-05,-2.2144738797025276e-05
15,A_to_B,0.960859031707312,0.9608478019909871,0.9608536248068593,-1.1229716324945294e-05,-5.4069004526979825e-06,0.122462747906308,0.12246563729052233,0.12248284189501907,-2.889384214332935e-06,-2.0093988711070154e-05
15,B_to_A,0.9618785953464409,0.9616508304475163,0.9619912853095217,-0.0002277648989246206,0.00011268996308078094,0.03817444718138002,0.03824074768483891,0.03813772264526209,-6.630050345889094e-05,3.6724536117929696e-05
16,A_to_B,0.9684543896757,0.9684128624788086,0.96837635505297,-4.152719689132223e-05,-7.803462272992778e-05,0.0742713034920169,0.07428694182248835,0.0742875355606251,-1.563833047145413e-05,-1.6232068608207362e-05
16,B_to_A,0.9650818928385781,0.9650800560585271,0.9650589330879396,-1.8367800510565857e-06,-2.29597506385959e-05,0.07656159497607562,0.0765622915020893,0.07657402085278012,-6.965260136854168e-07,-1.242587670449713e-05
17,A_to_B,0.9660691395202148,0.9659556477958414,0.9656911352111467,-0.00011349172437336019,-0.0003780043090680918,0.07801237856132123,0.07805789818271988,0.07814699473714025,-4.5519621398648624e-05,-0.0001346161758190162
17,B_to_A,0.964930774574323,0.9649264835943917,0.964953659800622,-4.290979931265149e-06,2.2885226299007577e-05,0.06701387239964972,0.06702391934702603,0.06700436880982072,-1.0046947376315951e-05,9.503589828999126e-06
18,A_to_B,0.9639344560144442,0.9638994810533368,0.9635524567639077,-3.49749611073813e-05,-0.0003819992505365022,0.0788953028495458,0.07890478342567059,0.07902399448005873,-9.480576124792917e-06,-0.00012869163051293375
18,B_to_A,0.9677023261555825,0.9676638704203383,0.9677731141013506,-3.845573524419166e-05,7.078794576809155e-05,0.059258838822666776,0.0592725158786614,0.05924073754675223,-1.3677055994622267e-05,1.8101275914547688e-05
19,A_to_B,0.9666307837689065,0.9666082395399473,0.9659873339006964,-2.2544228959198165e-05,-0.0006434498682101886,0.07012016115001608,0.07013290872144946,0.07038669797486233,-1.2747571433380234e-05,-0.00026653682484624464
19,B_to_A,0.9661985660388481,0.9661902761812126,0.9661824468712235,-8.289857635568332e-06,-1.6119167624673025e-05,0.07263446490804558,0.0726416802141327,0.07263037819963522,-7.215306087118845e-06,4.086708410358519e-06
